,Gene,Gene2,Correlation
283767,ATG12,ATG7,0.394
283768,ATG12,RB1CC1,0.359
283769,ATG12,ATG10,0.353
283770,ATG12,ATG3,0.341
283771,ATG12,ATG101,0.335
283772,ATG12,ATG9A,0.31
283773,ATG12,ATG13,0.26
283774,ATG12,ATG5,0.254
283775,ATG12,ULK1,0.222
283776,ATG12,ATG14,0.214
283777,ATG12,EPG5,0.212
283778,ATG12,ZFYVE1,0.211
283779,ATG12,MCCC2,0.21
283780,ATG12,ATG16L1,0.193
283781,ATG12,NUP210L,0.193
283782,ATG12,ANGPT1,0.193
283783,ATG12,TPD52,0.19
283784,ATG12,OIP5,-0.188
283785,ATG12,SP8,-0.188
283786,ATG12,GNG8,0.185
283787,ATG12,PCDHA1,0.184
283788,ATG12,LARS1,0.182
283789,ATG12,CCNG1,0.179
283790,ATG12,KEAP1,0.17800000000000002
283791,ATG12,ZCCHC10,0.17800000000000002
283792,ATG12,DEPDC5,0.177
283793,ATG12,FAM170B,-0.177
283794,ATG12,RFX2,-0.17600000000000002
283795,ATG12,YTHDC2,0.175
283796,ATG12,ATG4B,0.175
283797,ATG12,CHCHD4,-0.173
283798,ATG12,C1S,-0.171
283799,ATG12,MYO1C,-0.17
283800,ATG12,CPXCR1,-0.17
283801,ATG12,SUMO2,0.168
283802,ATG12,PCDHGC5,0.168
283803,ATG12,GCH1,0.16699999999999998
283804,ATG12,ZMYND10,-0.16699999999999998
283805,ATG12,FSTL4,0.16699999999999998
283806,ATG12,UNC5CL,-0.166
283807,ATG12,PIGQ,-0.166
283808,ATG12,RRM2B,0.166
283809,ATG12,FER,0.166
283810,ATG12,BTG1,0.165
283811,ATG12,DCUN1D2,0.165
283812,ATG12,ZNF703,0.16399999999999998
283813,ATG12,CA2,0.163
283814,ATG12,TRIM16L,0.163
283815,ATG12,RASA1,0.162
283816,ATG12,RHOXF1,-0.162
283817,ATG12,CRTAM,0.162
283818,ATG12,ROS1,-0.162
283819,ATG12,TAMM41,-0.162
283820,ATG12,KRTAP13-3,-0.161
283821,ATG12,DPEP3,-0.161
283822,ATG12,KCTD5,0.161
283823,ATG12,MX1,-0.161
283824,ATG12,SETD9,0.16
283825,ATG12,CDK11A,0.16
283826,ATG12,RAP1A,0.16
283827,ATG12,GDF9,0.16
283828,ATG12,CCDC140,-0.16
283829,ATG12,H2AC12,-0.159
283830,ATG12,CCDC159,0.159
283831,ATG12,SUN3,-0.159
283832,ATG12,ZCCHC9,0.158
283833,ATG12,HMX1,0.157
283834,ATG12,CXCL17,0.157
283835,ATG12,ZNF474,0.157
283836,ATG12,CCDC120,0.157
283837,ATG12,ZCCHC13,-0.156
283838,ATG12,CCNYL1,0.156
283839,ATG12,LAMB4,0.156
283840,ATG12,C1orf131,0.155
283841,ATG12,PTPN3,0.155
283842,ATG12,TAF9,0.154
283843,ATG12,GPC3,0.154
283844,ATG12,RPL36AL,0.154
283845,ATG12,GOT2,0.153
283846,ATG12,DNAH5,-0.153
283847,ATG12,USP1,0.153
283848,ATG12,LYVE1,-0.153
283849,ATG12,PROM1,-0.153
283850,ATG12,GPR176,0.152
283851,ATG12,SERPINB2,-0.152
283852,ATG12,FAM221A,-0.152
283853,ATG12,CD200R1,0.152
283854,ATG12,SCIMP,0.152
283855,ATG12,WDR18,-0.151
283856,ATG12,TBC1D30,0.151
283857,ATG12,RNASE2,0.151
283858,ATG12,SPATA9,0.151
283859,ATG12,THTPA,0.151
283860,ATG12,GPATCH11,0.151
283861,ATG12,SNX11,0.15
283862,ATG12,GZMA,0.15
283863,ATG12,NSF,0.15
283864,ATG12,ZNF285,0.15
283865,ATG12,CFAP45,0.149
283866,ATG12,CARTPT,0.14800000000000002
283867,ATG12,RNMT,-0.209
283868,ATG12,FAM210A,-0.194
283869,ATG12,GDNF,-0.192
283870,ATG12,SSH1,-0.189
283871,ATG12,CMTR1,-0.188
283872,ATG12,CUL7,-0.184
283873,ATG12,TAF7L,-0.17800000000000002
283874,ATG12,LRP12,-0.177
283875,ATG12,TSSK3,-0.177
283876,ATG12,ART3,-0.175
283877,ATG12,KDM4A,-0.175
283878,ATG12,C19orf71,-0.174
283879,ATG12,USP32,-0.172
283880,ATG12,PDE4DIP,-0.171
283881,ATG12,ANKRD28,-0.171
283882,ATG12,PRDM4,-0.17
283883,ATG12,COPA,-0.16699999999999998
283884,ATG12,NFE2L1,-0.16699999999999998
283885,ATG12,DSTYK,-0.165
283886,ATG12,C1orf216,-0.16399999999999998
283887,ATG12,PEX19,-0.162
283888,ATG12,BSDC1,-0.161
283889,ATG12,FNTB,-0.16
283890,ATG12,PI4KB,-0.16
283891,ATG12,MFSD12,-0.16
283892,ATG12,ENOX2,-0.159
283893,ATG12,TTC37,-0.159
283894,ATG12,ANKS1A,-0.158
283895,ATG12,LRCH3,-0.157
283896,ATG12,FAM98A,-0.157
283897,ATG12,MTDH,-0.157
283898,ATG12,DDR2,-0.156
283899,ATG12,ACACB,-0.156
283900,ATG12,GON4L,-0.156
283901,ATG12,ARHGEF2,-0.156
283902,ATG12,NRBP2,-0.156
283903,ATG12,ABL2,-0.156
283904,ATG12,TXLNA,-0.155
283905,ATG12,MAD2L1BP,-0.155
283906,ATG12,LMLN,-0.155
283907,ATG12,EXTL1,-0.154
283908,ATG12,PDLIM1,0.154
283909,ATG12,HMGXB4,-0.154
283910,ATG12,LRRC58,-0.153
283911,ATG12,KLHL20,-0.153
283912,ATG12,EVC,-0.152
283913,ATG12,DVL2,-0.152
283914,ATG12,RNF20,-0.152
283915,ATG12,BTBD9,-0.152
283916,ATG12,TRAF1,-0.152
283917,ATG12,GRIK2,-0.151
283918,ATG12,S100B,-0.151
283919,ATG12,FOXJ3,-0.151
283920,ATG12,RBM12B,-0.151
283921,ATG12,OLIG2,-0.151
283922,ATG12,SZT2,-0.15
283923,ATG12,MAP4,-0.15
283924,ATG12,SOX10,-0.15
283925,ATG12,AGPAT1,-0.15
283926,ATG12,ZFP91,-0.149
283927,ATG12,ZNF106,-0.149
283928,ATG12,RXRB,-0.149
283929,ATG12,RHOQ,-0.149
283930,ATG12,ZNF24,-0.149
283931,ATG12,ZC3H13,-0.14800000000000002
283932,ATG12,C3orf70,-0.14800000000000002
283933,ATG12,MTX3,-0.14800000000000002
283934,ATG12,NCAM2,-0.14800000000000002
283935,ATG12,BACH1,-0.14800000000000002
283936,ATG12,C8orf33,-0.14800000000000002
283937,ATG12,ZKSCAN1,-0.14800000000000002
283938,ATG12,OPHN1,-0.147
283939,ATG12,BIN3,-0.147
283940,ATG12,GRASP,-0.147
283941,ATG12,PAX3,-0.147
283942,ATG12,C6orf89,-0.147
283943,ATG12,KLHDC10,-0.147
283944,ATG12,ZSCAN30,-0.147
283945,ATG12,HMG20B,-0.147
283946,ATG12,SART3,-0.147
283947,ATG12,MYOZ2,-0.147
283948,ATG12,POPDC3,-0.146
283949,ATG12,SLC29A3,0.146
283950,ATG12,PTPN23,-0.146
283951,ATG12,TRIM51,-0.146
283952,ATG12,RBM48,-0.146
283953,ATG12,MBD1,-0.146
283954,ATG12,DGKD,-0.145
283955,ATG12,FOXD3,-0.145
283956,ATG12,NELFE,-0.145
283957,ATG12,C12orf76,-0.145
283958,ATG12,CLCN7,-0.145
283959,ATG12,MUC7,-0.145
283960,ATG12,DUS3L,-0.145
283961,ATG12,CLDN10,0.145
283962,ATG12,TRIM58,-0.145
283963,ATG12,OTUD7B,-0.14400000000000002
283964,ATG12,BRD2,-0.14400000000000002
283965,ATG12,AARS2,-0.14400000000000002
283966,ATG12,CUL2,0.14400000000000002
283967,ATG12,CREM,0.14400000000000002
283968,ATG12,CCNY,0.14400000000000002
283969,ATG12,COL9A2,-0.139
283970,ATG12,TMCO2,-0.138
283971,ATG12,ZMPSTE24,-0.13699999999999998
283972,ATG12,PARD3,0.131
283973,ATG12,MYO3A,0.13
283974,ATG12,APBB1IP,0.13
283975,ATG12,ZNF780B,0.129
283976,ATG12,GAD2,0.129
283977,ATG12,ZNF780A,0.129
283978,ATG12,BAMBI,0.129
283979,ATG12,NDST2,0.128
283980,ATG12,ANKRD26,0.128
283981,ATG12,LYZL1,0.127
283982,ATG12,PSMC4,0.126
283983,ATG12,ZNF546,0.126
283984,ATG12,PNLIP,0.125
283985,ATG12,PNLIPRP3,0.125
283986,ATG12,VSTM2B,0.125
283987,ATG12,HLA-DQB1,-0.124
283988,ATG12,PDSS1,0.124
283989,ATG12,ABI1,0.124
283990,ATG12,ARL5B,0.122
283991,ATG12,COL11A2,-0.122
283992,ATG12,ITIH2,0.122
283993,ATG12,HIVEP3,-0.121
283994,ATG12,PCDHB15,0.121
283995,ATG12,EDN2,-0.121
283996,ATG12,ZMAT2,0.121
283997,ATG12,NDFIP1,0.12
283998,ATG12,NSUN6,0.12
283999,ATG12,PCDHA2,0.12
284000,ATG12,PCDHA3,0.12
284001,ATG12,KIN,0.12
284002,ATG12,SYNPO2L,0.119
284003,ATG12,AGAP5,0.119
284004,ATG12,MYOZ1,0.119
284005,ATG12,PCDHB6,0.119
284006,ATG12,PCDHB8,0.119
284007,ATG12,PCDHB7,0.119
284008,ATG12,PCDHB16,0.119
284009,ATG12,TNXB,-0.119
284010,ATG12,PCDHB9,0.119
284011,ATG12,KCNQ4,-0.119
284012,ATG12,CITED4,-0.119
284013,ATG12,PCDHB11,0.119
284014,ATG12,PCDHB10,0.119
284015,ATG12,FAM204A,0.118
284016,ATG12,ZFP69,-0.118
284017,ATG12,CCDC172,0.118
284018,ATG12,POP4,0.118
284019,ATG12,PCDHB14,0.118
284020,ATG12,PCDHB13,0.118
284021,ATG12,SMAP2,-0.118
284022,ATG12,C19orf12,0.118
284023,ATG12,SFMBT2,0.118
284024,ATG12,ZFP69B,-0.118
284025,ATG12,PCDHA4,0.118
284026,ATG12,CEP89,0.118
284027,ATG12,CCDC3,0.117
284028,ATG12,ZNF684,-0.117
284029,ATG12,PCDHA12,0.117
284030,ATG12,PCDHB12,0.117
284031,ATG12,EXO5,-0.117
284032,ATG12,UQCRFS1,0.116
284033,ATG12,PHYHIPL,0.127
284034,ATG12,FAM13C,0.127
284035,ATG12,ZWINT,0.115
284036,ATG12,KCNMA1,0.114
284037,ATG12,RIN2,0.114
284038,ATG12,RHOBTB1,0.113
284039,ATG12,CDK1,0.112
284040,ATG12,ANK3,0.112
284041,ATG12,CRNKL1,0.111
284042,ATG12,NAA20,0.111
284043,ATG12,MTRNR2L5,0.111
284044,ATG12,CCDC6,0.111
284045,ATG12,ADO,0.11
284046,ATG12,EGR2,0.11
284047,ATG12,SFTPD,0.11
284048,ATG12,UBE2D1,0.11
284049,ATG12,TFAM,0.11
284050,ATG12,NRBF2,0.109
284051,ATG12,CISD1,0.109
284052,ATG12,TMEM254,0.109
284053,ATG12,ANXA11,0.109
284054,ATG12,PLAC9,0.109
284055,ATG12,SLC16A9,0.108
284056,ATG12,JMJD1C,0.108
284057,ATG12,IPMK,0.108
284058,ATG12,BICC1,0.108
284059,ATG12,XRN2,0.107
284060,ATG12,CFAP61,0.107
284061,ATG12,RPS24,0.106
284062,ATG12,ZNF365,0.106
284063,ATG12,ZNF337,0.106
284064,ATG12,NKX2-4,0.106
284065,ATG12,OTOR,0.106
284066,ATG12,NANP,0.105
284067,ATG12,ZNF503,0.105
284068,ATG12,SLC24A3,0.104
284069,ATG12,NINL,0.104
284070,ATG12,KAT6B,0.104
284071,ATG12,ZCCHC24,0.104
284072,ATG12,OVOL2,0.103
284073,ATG12,SNX5,0.103
284074,ATG12,MGME1,0.103
284075,ATG12,SNRPB2,0.103
284076,ATG12,RTKN2,0.103
284077,ATG12,CHCHD1,0.103
284078,ATG12,FUT11,0.103
284079,ATG12,ZSWIM8,0.103
284080,ATG12,CAMK2G,0.103
284081,ATG12,SEC24C,0.103
284082,ATG12,BANF2,0.103
284083,ATG12,KLHL28,0.103
284084,ATG12,DUSP13,0.102
284085,ATG12,DUPD1,0.102
284086,ATG12,SAMD8,0.102
284087,ATG12,RALGAPA2,0.102
284088,ATG12,DYDC2,0.102
284089,ATG12,DYDC1,0.102
284090,ATG12,PCSK2,0.102
284091,ATG12,REEP3,0.102
284092,ATG12,INSM1,0.102
284093,ATG12,VDAC2,0.101
284094,ATG12,COMTD1,0.101
284095,ATG12,FSCB,0.101
284096,ATG12,LRMDA,0.101
284097,ATG12,RPS6KC1,-0.158
284098,ATG12,DEFB135,-0.156
284099,ATG12,UPF3A,-0.15
284100,ATG12,CTSL,-0.14800000000000002
284101,ATG12,RSAD2,-0.14400000000000002
284102,ATG12,KCNAB3,-0.14400000000000002
284103,ATG12,CCDC144NL,-0.14400000000000002
284104,ATG12,KPNA3,-0.142
284105,ATG12,CFD,0.141
284106,ATG12,NYAP2,-0.141
284107,ATG12,C15orf61,-0.141
284108,ATG12,GLDN,-0.14
284109,ATG12,PI4K2A,-0.138
284110,ATG12,C11orf21,-0.136
284111,ATG12,LIPA,-0.136
284112,ATG12,ST8SIA5,-0.136
284113,ATG12,DND1,-0.135
284114,ATG12,PSKH2,-0.134
284115,ATG12,ATP1B2,-0.134
284116,ATG12,H4C4,0.134
284117,ATG12,MMUT,-0.134
284118,ATG12,SLITRK6,-0.133
284119,ATG12,CNOT6,-0.133
284120,ATG12,CLEC2B,-0.132
284121,ATG12,SLC35B3,-0.132
284122,ATG12,OCLM,-0.131
284123,ATG12,COX6A1,-0.131
284124,ATG12,NIP7,-0.131
284125,ATG12,IFNAR1,-0.13
284126,ATG12,FAM3D,-0.13
284127,ATG12,TMEM119,-0.13
284128,ATG12,CPLX4,-0.13
284129,ATG12,LSM12,-0.129
284130,ATG12,RPS3A,-0.128
284131,ATG12,ZNF268,-0.128
284132,ATG12,DEXI,-0.128
284133,ATG12,BCCIP,-0.125
284134,ATG12,OR4K1,-0.125
284135,ATG12,FRMD3,-0.125
284136,ATG12,GTF3A,-0.124
284137,ATG12,PIGZ,-0.124
284138,ATG12,YIPF5,-0.124
284139,ATG12,CPLX3,-0.124
284140,ATG12,SCN11A,-0.123
284141,ATG12,CDH18,-0.122
284142,ATG12,SPAG1,0.122
284143,ATG12,KATNBL1,-0.121
284144,ATG12,LALBA,-0.121
284145,ATG12,AQP9,-0.121
284146,ATG12,TRIO,-0.121
284147,ATG12,ANGPTL4,-0.12
284148,ATG12,SPAM1,-0.12
284149,ATG12,DAZL,-0.119
284150,ATG12,KAT6A,-0.119
284151,ATG12,ACER3,-0.119
284152,ATG12,DPPA5,-0.119
284153,ATG12,UBE2Q2,-0.119
284154,ATG12,NEU1,-0.119
284155,ATG12,KLF11,-0.118
284156,ATG12,LCOR,-0.118
284157,ATG12,CRYGS,-0.118
284158,ATG12,HACE1,-0.118
284159,ATG12,C19orf67,0.117
284160,ATG12,KIAA0825,-0.117
284161,ATG12,ALKBH3,-0.117
284162,ATG12,CASP3,-0.117
284163,ATG12,CAPNS1,0.117
284164,ATG12,UBN2,-0.116
284165,ATG12,ATF5,-0.116
284166,ATG12,TRARG1,-0.116
284167,ATG12,ELMO2,0.116
284168,ATG12,TRA2A,-0.115
284169,ATG12,OR2T6,-0.115
284170,ATG12,DPH5,-0.115
284171,ATG12,XBP1,0.115
284172,ATG12,ERVW-1,-0.115
284173,ATG12,PTTG1,-0.115
284174,ATG12,OR9Q1,-0.114
284175,ATG12,SLCO4C1,-0.114
284176,ATG12,RPS23,0.114
284177,ATG12,LRP11,-0.114
284178,ATG12,POLR2H,0.114
284179,ATG12,IL24,-0.113
284180,ATG12,GRXCR2,-0.113
284181,ATG12,USP12,-0.113
284182,ATG12,TOX,-0.113
284183,ATG12,TIMM29,0.113
284184,ATG12,SLC2A14,-0.112
284185,ATG12,HLA-DPA1,0.112
284186,ATG12,INTS2,-0.112
284187,ATG12,SHPRH,-0.112
284188,ATG12,CXCL11,0.111
284189,ATG12,TCEANC2,-0.111
443944,WIPI2,AP5Z1,0.229
443945,WIPI2,ATG14,0.228
443946,WIPI2,RGS10,0.212
443947,WIPI2,ATG101,0.201
443948,WIPI2,TAS2R13,0.198
443949,WIPI2,MMD2,0.198
443950,WIPI2,ATG7,0.198
443951,WIPI2,RB1CC1,0.196
443952,WIPI2,FOPNL,-0.193
443953,WIPI2,TSPAN14,0.193
443954,WIPI2,KIAA0556,-0.19
443955,WIPI2,F2R,-0.18600000000000005
443956,WIPI2,SNX8,0.184
443957,WIPI2,SH3YL1,0.182
443958,WIPI2,ZDHHC4,0.182
443959,WIPI2,RNF216,0.181
443960,WIPI2,VWDE,0.179
443961,WIPI2,FBH1,0.17800000000000002
443962,WIPI2,ATG13,0.17600000000000002
443963,WIPI2,NPIPB6,-0.17600000000000002
443964,WIPI2,ATOH8,-0.175
443965,WIPI2,TANC2,0.175
443966,WIPI2,WDR25,0.172
443967,WIPI2,EMID1,-0.172
443968,WIPI2,MAP1LC3B,0.171
443969,WIPI2,INTS1,0.171
443970,WIPI2,ZNF616,0.171
443971,WIPI2,SEZ6L,-0.171
443972,WIPI2,TRIM65,0.16899999999999998
443973,WIPI2,YARS2,-0.168
443974,WIPI2,ADSS1,0.168
443975,WIPI2,SGCA,0.166
443976,WIPI2,THUMPD1,-0.166
443977,WIPI2,USP36,0.16399999999999998
443978,WIPI2,FBXL18,0.16399999999999998
443979,WIPI2,CMC4,0.16399999999999998
443980,WIPI2,ATF5,0.163
443981,WIPI2,RADIL,0.162
443982,WIPI2,FAM110B,-0.162
443983,WIPI2,ALG2,-0.162
443984,WIPI2,TMEM106B,0.161
443985,WIPI2,C1orf109,-0.161
443986,WIPI2,MEOX2,0.16
443987,WIPI2,PTF1A,0.16
443988,WIPI2,PRKCE,0.16
443989,WIPI2,ERN2,-0.159
443990,WIPI2,PTGDR2,0.159
443991,WIPI2,TMEM121,0.159
443992,WIPI2,HAND1,0.158
443993,WIPI2,ATG3,0.157
443994,WIPI2,RBAK,0.157
443995,WIPI2,TSPAN19,0.157
443996,WIPI2,SLC25A14,0.157
443997,WIPI2,WDR45,0.156
443998,WIPI2,CRYBB1,-0.156
443999,WIPI2,GPR12,-0.155
444000,WIPI2,PSMD2,0.155
444001,WIPI2,PRMT6,-0.154
444002,WIPI2,IKZF1,0.154
444003,WIPI2,SMIM5,0.154
444004,WIPI2,CALML6,0.153
444005,WIPI2,PCSK1,-0.153
444006,WIPI2,NCOA1,0.152
444007,WIPI2,ZCCHC18,0.151
444008,WIPI2,EREG,-0.151
444009,WIPI2,CD99L2,0.151
444010,WIPI2,C1orf158,0.151
444011,WIPI2,LIPF,0.151
444012,WIPI2,MICALL2,0.151
444013,WIPI2,AMZ1,0.15
444014,WIPI2,KLLN,0.15
444015,WIPI2,ICA1,0.149
444016,WIPI2,SCIN,0.149
444017,WIPI2,PLCZ1,-0.149
444018,WIPI2,VWA1,0.149
444019,WIPI2,CUL3,0.149
444020,WIPI2,GALNT6,-0.149
444021,WIPI2,BATF3,0.14800000000000002
444022,WIPI2,MAPK15,0.14800000000000002
444023,WIPI2,GDAP1,-0.14800000000000002
444024,WIPI2,USP6NL,0.14800000000000002
444025,WIPI2,GALNT10,0.147
444026,WIPI2,B4GALNT4,0.147
444027,WIPI2,VSTM2A,0.147
444028,WIPI2,TAFA1,-0.147
444029,WIPI2,OR2Y1,0.147
444030,WIPI2,SCNN1G,-0.147
444031,WIPI2,FAM156B,0.146
444032,WIPI2,DPAGT1,-0.146
444033,WIPI2,ATG9A,0.146
444034,WIPI2,BCAS3,0.146
444035,WIPI2,SYTL2,0.146
444036,WIPI2,ZBTB42,0.146
444037,WIPI2,CTDSP2,0.146
444038,WIPI2,HTR3B,0.146
444039,WIPI2,PDE6D,0.145
444040,WIPI2,OCM,0.145
444041,WIPI2,TXNL4B,0.145
444042,WIPI2,SLC22A15,-0.145
444043,WIPI2,USP3,0.14400000000000002
444044,WIPI2,TBP,-0.151
444045,WIPI2,GPR50,-0.146
444046,WIPI2,SMAD9,-0.146
444047,WIPI2,OR1F1,-0.145
444048,WIPI2,FBXO42,-0.142
444049,WIPI2,RNF148,0.14
444050,WIPI2,FAM81A,0.139
444051,WIPI2,APLNR,-0.139
444052,WIPI2,AKIRIN2,-0.138
444053,WIPI2,LRRN3,-0.13699999999999998
444054,WIPI2,TMEM130,-0.136
444055,WIPI2,SGCG,-0.134
444056,WIPI2,RNF133,0.134
444057,WIPI2,CCNO,0.132
444058,WIPI2,LZTFL1,0.131
444059,WIPI2,HMX1,-0.13
444060,WIPI2,SLC5A7,-0.13
444061,WIPI2,SMARCA4,-0.129
444062,WIPI2,XXYLT1,-0.129
444063,WIPI2,CD58,0.128
444064,WIPI2,AMDHD1,0.126
444065,WIPI2,AMACR,0.125
444066,WIPI2,FAM92B,-0.125
444067,WIPI2,MCIDAS,0.125
444068,WIPI2,FAM120B,-0.123
444069,WIPI2,ACTL10,0.123
444070,WIPI2,CACNA2D2,-0.122
444071,WIPI2,PRRX2,-0.122
444072,WIPI2,DACT3,-0.122
444073,WIPI2,FBXO30,-0.122
444074,WIPI2,HCK,-0.121
444075,WIPI2,DLGAP2,-0.121
444076,WIPI2,DLK1,-0.121
444077,WIPI2,EPS15L1,-0.121
444078,WIPI2,DPYSL4,-0.12
444079,WIPI2,NTRK1,-0.12
444080,WIPI2,HSF5,-0.12
444081,WIPI2,TPSAB1,-0.12
444082,WIPI2,GIMAP7,0.119
444083,WIPI2,RALGDS,-0.119
444084,WIPI2,KIR3DL2,0.119
444085,WIPI2,IL36A,0.119
444086,WIPI2,FAM43A,-0.119
444087,WIPI2,TMEM108,-0.118
444088,WIPI2,CPXM1,-0.117
444089,WIPI2,LATS1,-0.117
444090,WIPI2,PCYT1B,-0.117
444091,WIPI2,VEGFD,-0.117
444092,WIPI2,FAM234B,-0.117
444093,WIPI2,SCAF8,-0.116
444094,WIPI2,GLRA1,-0.116
444095,WIPI2,GGA2,-0.116
444096,WIPI2,HSD3B2,-0.116
444097,WIPI2,TPSD1,-0.115
444098,WIPI2,KATNA1,-0.115
444099,WIPI2,FGFR1OP,-0.115
444100,WIPI2,ECH1,-0.115
444101,WIPI2,CADPS2,0.115
444102,WIPI2,BACE2,0.114
444103,WIPI2,NECAB2,-0.114
444104,WIPI2,CACNA1B,-0.114
444105,WIPI2,GLRA2,-0.114
444106,WIPI2,GPR146,-0.113
444107,WIPI2,KDM1A,-0.113
444108,WIPI2,IKBKE,0.113
444109,WIPI2,CYB5D2,0.113
444110,WIPI2,SLAMF7,0.113
444111,WIPI2,OSBPL3,0.112
444112,WIPI2,OXR1,0.112
444113,WIPI2,GCGR,-0.112
444114,WIPI2,KCTD14,0.112
444115,WIPI2,RASL11B,-0.112
444116,WIPI2,STXBP5,-0.112
444117,WIPI2,STXBP6,0.112
444118,WIPI2,RGL3,0.112
444119,WIPI2,ZCCHC12,-0.112
444120,WIPI2,SHPRH,-0.112
444121,WIPI2,SLC10A4,-0.111
444122,WIPI2,SAMD11,-0.111
444123,WIPI2,C1GALT1,0.111
444124,WIPI2,COL23A1,-0.111
444125,WIPI2,MAP3K4,-0.111
444126,WIPI2,ACSM4,-0.111
444127,WIPI2,HS6ST1,-0.111
444128,WIPI2,TRIM47,0.111
444129,WIPI2,PHOX2B,-0.11
444130,WIPI2,CFLAR,0.11
444131,WIPI2,FAS,0.11
444132,WIPI2,MED31,0.11
444133,WIPI2,AKAP4,-0.11
444134,WIPI2,ZBTB16,-0.11
444135,WIPI2,AXDND1,0.11
444136,WIPI2,TRERF1,-0.109
444137,WIPI2,SSR3,0.109
444138,WIPI2,ATP10A,0.109
444139,WIPI2,OR10AC1,-0.109
444140,WIPI2,PIH1D2,0.109
444141,WIPI2,HNRNPA0,-0.108
444142,WIPI2,MTRF1L,-0.168
444143,WIPI2,FBXO5,-0.165
444144,WIPI2,RGS17,-0.159
444145,WIPI2,DACT2,-0.158
444146,WIPI2,SMOC2,-0.158
444147,WIPI2,GINM1,-0.155
444148,WIPI2,RSPH3,-0.154
444149,WIPI2,FNDC1,-0.153
444150,WIPI2,TAGAP,-0.153
444151,WIPI2,VIP,-0.151
444152,WIPI2,MYCT1,-0.14800000000000002
444153,WIPI2,AFDN,-0.147
444154,WIPI2,SERAC1,-0.146
444155,WIPI2,EZR,-0.145
444156,WIPI2,THBS2,-0.14400000000000002
444157,WIPI2,LPA,-0.14400000000000002
444158,WIPI2,FRMD1,-0.14400000000000002
444159,WIPI2,DLL1,-0.14300000000000002
444160,WIPI2,SLC22A3,-0.14300000000000002
444161,WIPI2,PRKN,-0.14300000000000002
444162,WIPI2,WDR27,-0.142
444163,WIPI2,UST,-0.142
444164,WIPI2,GTF2H5,-0.142
444165,WIPI2,PHF10,-0.141
444166,WIPI2,C6orf120,-0.141
444167,WIPI2,AGPAT4,-0.141
444168,WIPI2,ERMARD,-0.141
444169,WIPI2,TCTE3,-0.141
444170,WIPI2,SOD2,-0.141
444171,WIPI2,PPP1R14C,-0.14
444172,WIPI2,IYD,-0.14
444173,WIPI2,SASH1,-0.139
444174,WIPI2,PSMB1,-0.139
444175,WIPI2,PDCD2,-0.139
444176,WIPI2,ULBP2,-0.139
444177,WIPI2,IPCEF1,-0.138
444178,WIPI2,PCMT1,-0.138
444179,WIPI2,NUP43,-0.138
444180,WIPI2,RAET1G,-0.138
444181,WIPI2,PPIL4,-0.138
444182,WIPI2,TAB2,-0.13699999999999998
444183,WIPI2,AKAP12,-0.13699999999999998
444184,WIPI2,RAET1E,-0.13699999999999998
444185,WIPI2,PLEKHG1,-0.136
444186,WIPI2,DYNLT1,-0.136
444187,WIPI2,TULP4,-0.135
444188,WIPI2,SYNJ2,-0.135
444189,WIPI2,OPRM1,-0.134
444190,WIPI2,SNX9,-0.133
444191,WIPI2,LRP11,-0.133
444192,WIPI2,RPS6KA2,-0.133
444193,WIPI2,SFT2D1,-0.132
444194,WIPI2,MPC1,-0.132
444195,WIPI2,PRR18,-0.132
444196,WIPI2,TBXT,-0.132
444197,WIPI2,USP47,0.132
444198,WIPI2,DKK3,0.131
444199,WIPI2,CNKSR3,-0.131
444200,WIPI2,QKI,-0.131
444201,WIPI2,NARS2,0.133
444202,WIPI2,TENM4,0.133
444203,WIPI2,MICAL2,0.125
444204,WIPI2,HEY1,0.125
444205,WIPI2,STMN2,0.125
444206,WIPI2,TPD52,0.124
444207,WIPI2,MRPS28,0.124
444208,WIPI2,ZBTB10,0.124
444209,WIPI2,ZNF704,0.124
444210,WIPI2,JRKL,0.122
444211,WIPI2,CCDC82,0.122
444212,WIPI2,SIK2,0.122
444213,WIPI2,MICALCL,0.122
444214,WIPI2,ABTB2,0.121
444215,WIPI2,ALG8,0.12
444216,WIPI2,GAB2,0.119
444217,WIPI2,USP35,0.119
444218,WIPI2,KCTD21,0.119
444219,WIPI2,CAT,0.117
444220,WIPI2,ELF5,0.117
444221,WIPI2,PKIA,0.115
444222,WIPI2,ZC2HC1A,0.115
444223,WIPI2,IL7,0.115
444224,WIPI2,AMOTL1,0.115
444225,WIPI2,EHF,0.114
444226,WIPI2,B9D1,0.113
444227,WIPI2,THRSP,0.112
444228,WIPI2,NDUFC2,0.112
444229,WIPI2,LAYN,0.112
444230,WIPI2,CAPN1,0.112
444231,WIPI2,SPDYC,0.112
444232,WIPI2,NAT10,0.111
444233,WIPI2,POLA2,0.111
444234,WIPI2,DIXDC1,0.111
444235,WIPI2,DLAT,0.111
444236,WIPI2,LMO2,0.111
444237,WIPI2,SYVN1,0.111
444238,WIPI2,MRPL49,0.111
444239,WIPI2,POU2AF1,0.111
444240,WIPI2,C11orf54,0.111
444241,WIPI2,TAF1D,0.111
444242,WIPI2,C11orf88,0.111
444243,WIPI2,CSNK2A3,0.11
444244,WIPI2,PRRG4,0.11
444245,WIPI2,QSER1,0.11
444246,WIPI2,APIP,0.109
444247,WIPI2,CDRT15L2,0.109
444248,WIPI2,ZNF92,0.109
