,Gene,Compound,Correlation
0,SMARCA4,SMARCD1,0.276
1,SMARCA4,SMARCB1,0.273
2,SMARCA4,SMARCE1,0.273
3,SMARCA4,SMARCC1,0.235
4,SMARCA4,PDCD2,-0.21
5,SMARCA4,BICRA,0.20199999999999999
6,SMARCA4,BTBD7,-0.201
7,SMARCA4,ACTR3,-0.2
8,SMARCA4,BRD9,0.198
9,SMARCA4,VHL,0.19399999999999998
10,SMARCA4,ARID1A,0.187
11,SMARCA4,CLNS1A,-0.187
12,SMARCA4,LSM5,-0.183
13,SMARCA4,EP300,0.179
14,SMARCA4,MLLT1,0.179
15,SMARCA4,CCNE1,0.17800000000000002
16,SMARCA4,NF2,0.175
17,SMARCA4,HTT,0.174
18,SMARCA4,ZNF346,-0.17
19,SMARCA4,TRIP11,-0.16899999999999998
20,SMARCA4,HIVEP1,0.16899999999999998
21,SMARCA4,ARPC3,-0.16899999999999998
22,SMARCA4,DPM3,-0.168
23,SMARCA4,PTPN14,0.166
24,SMARCA4,SGF29,0.165
25,SMARCA4,ARID2,0.16399999999999998
26,SMARCA4,ERP44,-0.16399999999999998
27,SMARCA4,JUN,-0.163
28,SMARCA4,GNPTAB,-0.162
29,SMARCA4,DPF2,0.162
30,SMARCA4,UBALD1,-0.161
31,SMARCA4,TYK2,0.16
32,SMARCA4,MAGEA4,-0.158
33,SMARCA4,ZNF143,0.158
34,SMARCA4,RABGGTB,-0.158
35,SMARCA4,DYTN,-0.156
36,SMARCA4,CTNNB1,-0.155
37,SMARCA4,SBSN,0.154
38,SMARCA4,SS18,0.154
39,SMARCA4,NXT1,0.154
40,SMARCA4,MARK3,-0.152
41,SMARCA4,ANGPTL8,0.152
42,SMARCA4,TIPARP,-0.152
43,SMARCA4,RPL30,-0.151
44,SMARCA4,CD79A,0.151
45,SMARCA4,TRIO,-0.15
46,SMARCA4,FKRP,0.15
47,SMARCA4,C3orf38,-0.149
48,SMARCA4,TCF7L2,-0.149
49,SMARCA4,TIAL1,-0.14800000000000002
50,SMARCA4,PBRM1,0.14800000000000002
51,SMARCA4,SF3A2,0.14800000000000002
52,SMARCA4,NMT1,0.14800000000000002
53,SMARCA4,LASP1,-0.14800000000000002
54,SMARCA4,SRI,-0.14800000000000002
55,SMARCA4,CDC25B,-0.147
56,SMARCA4,PGAP2,-0.147
57,SMARCA4,HIBADH,-0.147
58,SMARCA4,SF3A1,0.147
59,SMARCA4,SCUBE3,0.147
60,SMARCA4,THAP1,0.147
61,SMARCA4,MED15,0.147
62,SMARCA4,GLYATL3,0.147
63,SMARCA4,EIF3F,0.147
64,SMARCA4,ORC4,-0.147
65,SMARCA4,AMOTL2,0.146
66,SMARCA4,ELMO2,-0.146
67,SMARCA4,MYO1B,-0.146
68,SMARCA4,CNN3,-0.146
69,SMARCA4,EEF1AKMT2,-0.146
70,SMARCA4,TFAP2B,0.146
71,SMARCA4,AMH,0.146
72,SMARCA4,SOX4,0.146
73,SMARCA4,ACTL9,0.145
74,SMARCA4,TANC2,0.145
75,SMARCA4,ANKLE2,0.145
76,SMARCA4,METTL15,-0.145
77,SMARCA4,SMARCA2,-0.14400000000000002
78,SMARCA4,ACO2,0.14400000000000002
79,SMARCA4,FOSL1,-0.14400000000000002
80,SMARCA4,ZNF789,-0.14400000000000002
81,SMARCA4,RPF2,-0.14300000000000002
82,SMARCA4,ZFP36L1,-0.14300000000000002
83,SMARCA4,CERT1,-0.14300000000000002
84,SMARCA4,DPH6,0.142
85,SMARCA4,CDH2,-0.142
86,SMARCA4,KIRREL1,0.142
87,SMARCA4,ERAP1,-0.142
88,SMARCA4,MAP3K2,-0.142
89,SMARCA4,BHLHA15,-0.142
90,SMARCA4,TLK1,-0.141
91,SMARCA4,RHOG,-0.141
92,SMARCA4,MYBL2,0.141
93,SMARCA4,PCYT1A,-0.141
94,SMARCA4,IFNA4,-0.141
95,SMARCA4,ASNS,-0.141
96,SMARCA4,MDK,-0.14
97,SMARCA4,TRNAU1AP,0.14
98,SMARCA4,TAF2,-0.14
99,SMARCA4,DEK,0.139
100,SMARCA4,DIPK1B,-0.27
101,SMARCA4,SQOR,0.244
102,SMARCA4,PLGRKT,0.242
103,SMARCA4,TAP1,0.23600000000000002
104,SMARCA4,ABCC5,-0.222
105,SMARCA4,HIC2,-0.221
106,SMARCA4,KLRG2,-0.215
107,SMARCA4,HFM1,-0.214
108,SMARCA4,WASHC3,0.213
109,SMARCA4,GAS6,0.213
110,SMARCA4,HLA-C,0.212
111,SMARCA4,MVP,0.21
112,SMARCA4,ZBTB10,-0.207
113,SMARCA4,GGA2,-0.207
114,SMARCA4,SCN7A,-0.207
115,SMARCA4,HEXB,0.205
116,SMARCA4,MEX3A,-0.205
117,SMARCA4,CLIC1,0.204
118,SMARCA4,DCBLD1,0.203
119,SMARCA4,PDCD1LG2,0.203
120,SMARCA4,HLA-B,0.203
121,SMARCA4,DHTKD1,-0.20199999999999999
122,SMARCA4,VANGL2,-0.20199999999999999
123,SMARCA4,GRASP,-0.20199999999999999
124,SMARCA4,CD274,0.20199999999999999
125,SMARCA4,HLA-A,0.2
126,SMARCA4,TDG,-0.19899999999999998
127,SMARCA4,HS6ST1,-0.19899999999999998
128,SMARCA4,COL26A1,-0.198
129,SMARCA4,PLP2,0.198
130,SMARCA4,FAS,0.19699999999999998
131,SMARCA4,HLA-F,0.19699999999999998
132,SMARCA4,KDM1A,-0.196
133,SMARCA4,AEBP1,-0.196
134,SMARCA4,CBX2,-0.196
135,SMARCA4,SEMA6C,-0.196
136,SMARCA4,RCOR2,-0.195
137,SMARCA4,MICA,0.195
138,SMARCA4,LGI2,-0.19399999999999998
139,SMARCA4,JAK2,0.19399999999999998
141,SMARCA4,VASP,0.192
142,SMARCA4,KCNG3,-0.191
143,SMARCA4,SMIM29,0.191
144,SMARCA4,ACVR2B,-0.191
145,SMARCA4,SALL2,-0.191
146,SMARCA4,ANG,0.19
147,SMARCA4,AOX1,0.19
148,SMARCA4,PSMB9,0.19
149,SMARCA4,LURAP1L,0.188
150,SMARCA4,RAPGEF5,-0.187
151,SMARCA4,CCNH,0.187
152,SMARCA4,ZBTB39,-0.187
153,SMARCA4,CDC37L1,0.18600000000000005
154,SMARCA4,TXN,0.18600000000000005
155,SMARCA4,NMRK1,0.18600000000000005
156,SMARCA4,ZBTB38,0.185
157,SMARCA4,ZNF660,-0.185
158,SMARCA4,ZNF853,-0.183
159,SMARCA4,SRSF12,-0.183
160,SMARCA4,ACVR1B,-0.182
161,SMARCA4,RASL11B,-0.182
162,SMARCA4,IGSF11,-0.182
163,SMARCA4,ISYNA1,-0.18100000000000002
164,SMARCA4,PYGM,-0.18100000000000002
165,SMARCA4,THAP9,-0.18
166,SMARCA4,CASKIN1,-0.18
167,SMARCA4,MLKL,0.18
168,SMARCA4,FBXL19,-0.18
169,SMARCA4,B2M,0.179
170,SMARCA4,TICAM2,0.179
171,SMARCA4,ARHGAP18,0.179
172,SMARCA4,COL2A1,-0.179
173,SMARCA4,CD58,0.179
174,SMARCA4,H2BW1,-0.179
175,SMARCA4,ZBTB48,-0.179
176,SMARCA4,PLTP,-0.17800000000000002
177,SMARCA4,STOX2,-0.17800000000000002
178,SMARCA4,CYLD,0.17800000000000002
179,SMARCA4,APOL6,0.17800000000000002
180,SMARCA4,APOE,-0.17800000000000002
181,SMARCA4,RNASE4,0.17800000000000002
182,SMARCA4,IL32,0.17800000000000002
183,SMARCA4,KREMEN2,-0.177
184,SMARCA4,AK3,0.177
185,SMARCA4,LACC1,0.177
186,SMARCA4,TET1,-0.177
188,SMARCA4,BSN,-0.17600000000000002
189,SMARCA4,TCF15,-0.17600000000000002
190,SMARCA4,GPR39,0.17600000000000002
191,SMARCA4,LMO1,-0.175
192,SMARCA4,OPTN,0.175
193,SMARCA4,CNN2,0.175
194,SMARCA4,SERPINB8,0.175
195,SMARCA4,DNMT3A,-0.174
196,SMARCA4,ZNF704,-0.174
197,SMARCA4,SPINDOC,-0.174
198,SMARCA4,CHD7,-0.174
199,SMARCA4,KANK1,0.203
200,SMARCA4,VLDLR,0.19899999999999998
202,SMARCA4,DOCK8,0.198
203,SMARCA4,DOCK8-AS1,0.198
204,SMARCA4,DMRT1,0.198
205,SMARCA4,CBWD1,0.19699999999999998
206,SMARCA4,FOXD4,0.19699999999999998
207,SMARCA4,KCNV2,0.196
208,SMARCA4,DMRT3,0.19399999999999998
210,SMARCA4,DMRT2,0.191
211,SMARCA4,PUM3,0.18899999999999997
212,SMARCA4,RFX3,0.182
214,SMARCA4,GLDC,0.177
217,SMARCA4,TPD52L3,0.172
218,SMARCA4,UHRF2,0.172
219,SMARCA4,SPATA6L,0.171
221,SMARCA4,IL33,0.17
222,SMARCA4,RANBP6,0.17
224,SMARCA4,RCL1,0.16899999999999998
225,SMARCA4,PLPP6,0.16899999999999998
226,SMARCA4,RIC1,0.16899999999999998
227,SMARCA4,INSL6,0.16899999999999998
229,SMARCA4,RLN1,0.16899999999999998
230,SMARCA4,RLN2,0.16899999999999998
231,SMARCA4,SLC1A1,0.168
233,SMARCA4,INSL4,0.16699999999999998
234,SMARCA4,GLIS3,0.16699999999999998
235,SMARCA4,MLANA,0.166
237,SMARCA4,KDM4C,0.165
238,SMARCA4,ERMP1,0.165
239,SMARCA4,PTPRD,0.163
241,SMARCA4,DMAC1,0.155
243,SMARCA4,TYRP1,0.153
249,SMARCA4,MPDZ,0.14800000000000002
250,SMARCA4,CLUL1,-0.14300000000000002
251,SMARCA4,CETN1,-0.14300000000000002
252,SMARCA4,C9orf92,0.14300000000000002
253,SMARCA4,PSIP1,0.142
254,SMARCA4,LRRC30,-0.142
255,SMARCA4,NDC80,-0.141
256,SMARCA4,LPIN2,-0.141
257,SMARCA4,METTL4,-0.14
258,SMARCA4,COLEC12,-0.14
260,SMARCA4,SMCHD1,-0.14
261,SMARCA4,SNAPC3,0.139
262,SMARCA4,TTC39B,0.139
263,SMARCA4,PTPRM,-0.139
264,SMARCA4,L3MBTL4,-0.138
268,SMARCA4,NFIB,0.138
271,SMARCA4,THOC1,-0.136
273,SMARCA4,RAB31,-0.135
274,SMARCA4,TMEM200C,-0.135
276,SMARCA4,MYOM1,-0.135
279,SMARCA4,AKAIN1,-0.134
284,SMARCA4,ZBTB14,-0.133
287,SMARCA4,ZNF208,0.133
290,SMARCA4,EPB41L3,-0.132
291,SMARCA4,DLGAP1,-0.152
292,SMARCA4,TGIF1,-0.151
294,SMARCA4,GNG2,-0.151
295,SMARCA4,RTRAF,-0.151
296,SMARCA4,NID2,-0.151
298,SMARCA4,P3H2,-0.15
300,SMARCA4,MYL12A,-0.149
301,SMARCA4,ARMH4,-0.149
302,SMARCA4,MYL12B,-0.147
303,SMARCA4,TXNDC16,-0.147
304,SMARCA4,SPRY1,-0.147
305,SMARCA4,NEMF,-0.146
306,SMARCA4,KLHDC2,-0.146
307,SMARCA4,BCL6,-0.146
308,SMARCA4,CLDN1,-0.145
309,SMARCA4,CLDN16,-0.145
310,SMARCA4,PTGER2,-0.14400000000000002
311,SMARCA4,NADK,-0.14400000000000002
312,SMARCA4,SLC35E2A,-0.14400000000000002
313,SMARCA4,CDK11A,-0.14400000000000002
314,SMARCA4,RTP2,-0.14400000000000002
315,SMARCA4,TMEM52,-0.14400000000000002
316,SMARCA4,GNB1,-0.14400000000000002
317,SMARCA4,CALML6,-0.14400000000000002
318,SMARCA4,TP63,-0.14400000000000002
319,SMARCA4,PRKCZ,-0.14400000000000002
320,SMARCA4,GABRD,-0.14400000000000002
324,SMARCA4,KNG1,-0.14300000000000002
325,SMARCA4,IL1RAP,-0.14300000000000002
326,SMARCA4,ADIPOQ,-0.14300000000000002
327,SMARCA4,EMILIN2,-0.14300000000000002
328,SMARCA4,SST,-0.142
330,SMARCA4,RFC4,-0.142
332,SMARCA4,EIF4A2,-0.142
336,SMARCA4,TMEM207,-0.142
339,SMARCA4,TPRG1L,-0.141
340,SMARCA4,TP73,-0.141
341,SMARCA4,WRAP73,-0.141
342,SMARCA4,KLHDC1,-0.141
343,SMARCA4,FETUB,-0.141
344,SMARCA4,AHSG,-0.141
345,SMARCA4,HRG,-0.141
346,SMARCA4,DNAJB11,-0.141
347,SMARCA4,CASP6,-0.141
348,SMARCA4,PLA2G12A,-0.141
349,SMARCA4,LRRC47,-0.141
351,SMARCA4,SMIM1,-0.141
352,SMARCA4,CCDC27,-0.141
353,SMARCA4,LPP,-0.14
355,SMARCA4,CRYGS,-0.14
356,SMARCA4,TBCCD1,-0.14
358,SMARCA4,EGF,-0.14
359,SMARCA4,USP14,-0.14
361,SMARCA4,GAR1,-0.14
362,SMARCA4,LRIT3,-0.14
363,SMARCA4,CFI,-0.14
364,SMARCA4,RRH,-0.14
366,SMARCA4,TMEM260,-0.14
367,SMARCA4,SYNPO2,-0.139
368,SMARCA4,SKI,-0.139
369,SMARCA4,PDE5A,-0.139
370,SMARCA4,ST6GAL1,-0.139
371,SMARCA4,SLC35E2B,-0.139
372,SMARCA4,MASP1,-0.139
373,SMARCA4,RTP1,-0.139
376,SMARCA4,CEP104,-0.139
377,SMARCA4,C1orf174,-0.139
378,SMARCA4,DFFB,-0.139
379,SMARCA4,USP53,-0.139
380,SMARCA4,C4orf3,-0.139
381,SMARCA4,CLDN12,-0.159
382,SMARCA4,ATP6AP1L,-0.157
383,SMARCA4,POLR2H,-0.15
384,SMARCA4,BRICD5,-0.142
385,SMARCA4,TNFAIP6,-0.142
386,SMARCA4,HLA-DOA,-0.14
387,SMARCA4,PHF20,-0.135
388,SMARCA4,NMS,-0.132
389,SMARCA4,KRTAP22-2,0.131
390,SMARCA4,BUB1B,-0.131
391,SMARCA4,IL17RC,-0.125
392,SMARCA4,KCTD18,-0.124
393,SMARCA4,BCL9L,0.124
394,SMARCA4,LUZP4,-0.121
395,SMARCA4,MIR1915HG,-0.11900000000000001
396,SMARCA4,YWHAZ,-0.11900000000000001
397,SMARCA4,STK17B,-0.11900000000000001
398,SMARCA4,SLC38A9,-0.11800000000000001
399,SMARCA4,LSG1,-0.11800000000000001
400,SMARCA4,SNCAIP,-0.11699999999999999
401,SMARCA4,SYNCRIP,0.11699999999999999
402,SMARCA4,SRP54,-0.11599999999999999
403,SMARCA4,OR8K5,-0.11599999999999999
404,SMARCA4,ZBED1,-0.11599999999999999
405,SMARCA4,ACTA2,-0.115
406,SMARCA4,ZBTB12,0.115
407,SMARCA4,HDDC3,-0.115
409,SMARCA4,SMG8,-0.114
410,SMARCA4,UNC93A,-0.114
411,SMARCA4,CREBZF,-0.113
412,SMARCA4,NLRP3,0.113
413,SMARCA4,FBXW11,-0.11199999999999999
414,SMARCA4,TMEM82,-0.11199999999999999
415,SMARCA4,AKIRIN2,-0.11199999999999999
416,SMARCA4,SCLT1,-0.11199999999999999
417,SMARCA4,PSMD5,-0.111
418,SMARCA4,ATP2A1,0.111
419,SMARCA4,GIPR,-0.111
420,SMARCA4,MUC17,-0.111
421,SMARCA4,COPZ1,-0.11
422,SMARCA4,MYL4,0.11
423,SMARCA4,FGF3,0.11
424,SMARCA4,FAM71C,0.11
425,SMARCA4,HES6,-0.109
426,SMARCA4,MAG,0.109
427,SMARCA4,CAMSAP1,0.109
428,SMARCA4,HTR2C,-0.10800000000000001
429,SMARCA4,ANKRD40,-0.10800000000000001
430,SMARCA4,H2BC5,-0.10800000000000001
431,SMARCA4,CPXM1,0.107
432,SMARCA4,TUBGCP3,0.107
434,SMARCA4,RFLNA,0.107
435,SMARCA4,ARHGAP22,0.107
436,SMARCA4,GAA,0.106
437,SMARCA4,SH3BGRL3,-0.106
438,SMARCA4,NSA2,-0.106
439,SMARCA4,PIP5K1C,0.106
440,SMARCA4,TUBAL3,-0.106
441,SMARCA4,PSMC2,0.106
443,SMARCA4,TRAF3IP2,-0.105
444,SMARCA4,KRTAP5-7,-0.105
445,SMARCA4,ARMCX5,-0.105
446,SMARCA4,NRG1,0.10400000000000001
447,SMARCA4,ACSM4,-0.10400000000000001
448,SMARCA4,ARHGEF33,0.10400000000000001
449,SMARCA4,PARP6,-0.10400000000000001
450,SMARCA4,THEM6,-0.10400000000000001
451,SMARCA4,CSHL1,-0.10400000000000001
452,SMARCA4,FAR1,-0.10300000000000001
453,SMARCA4,ORC3,0.10300000000000001
455,SMARCA4,WDPCP,-0.102
456,SMARCA4,CRTAC1,-0.102
457,SMARCA4,TCTN3,-0.102
460,SMARCA4,FAM155A,-0.102
461,SMARCA4,DPPA5,-0.102
462,SMARCA4,PRF1,0.102
463,SMARCA4,ANKRD31,0.102
464,SMARCA4,KRAS,0.102
465,SMARCA4,FCHSD1,-0.102
466,SMARCA4,PNPLA6,-0.102
467,SMARCA4,CSTF2T,-0.10099999999999999
468,SMARCA4,GAS2L1,-0.10099999999999999
469,SMARCA4,EPHA6,-0.10099999999999999
470,SMARCA4,ENPP3,-0.10099999999999999
472,SMARCA4,IGLL1,0.10099999999999999
473,SMARCA4,AMBN,-0.10099999999999999
474,SMARCA4,PPP2CA,-0.10099999999999999
475,SMARCA4,TP53,-0.10099999999999999
476,SMARCA4,TRPV3,-0.099
477,SMARCA4,CBR4,-0.098
478,SMARCA4,TLR10,-0.098
479,SMARCA4,TENT5A,-0.098
480,SMARCA4,MS4A8,-0.09300000000000001
481,OR5H2,GPR15,0.337
482,OR5H2,OR5K3,0.315
483,OR5H2,RIOX2,0.3
484,OR5H2,CD47,0.289
485,OR5H2,CLDND1,0.28800000000000003
486,OR5H2,ADGRG7,0.287
487,OR5H2,OR5K1,0.261
488,OR5H2,RNLS,0.257
489,OR5H2,WDR5B,0.256
490,OR5H2,TATDN1,0.253
491,OR5H2,OR5H1,0.253
492,OR5H2,ST3GAL6,0.251
493,OR5H2,ARL6,0.249
494,OR5H2,OR5H6,0.23800000000000002
495,OR5H2,PRH2,0.23800000000000002
496,OR5H2,OCIAD1,0.23800000000000002
497,OR5H2,SENP7,0.23
498,OR5H2,CTAGE1,0.22699999999999998
499,OR5H2,PROS1,0.22399999999999998
500,OR5H2,SLC16A9,0.22399999999999998
501,OR5H2,GOLGB1,0.223
502,OR5H2,TMEM45A,0.221
503,OR5H2,CYTIP,0.21899999999999997
504,OR5H2,IMPG2,0.21899999999999997
505,OR5H2,IQCJ,0.21899999999999997
506,OR5H2,MESP2,-0.218
507,OR5H2,ZNF654,0.21600000000000005
508,OR5H2,SLC35A5,0.21600000000000005
509,OR5H2,ESCO1,0.215
510,OR5H2,OR5AC2,0.215
511,OR5H2,ITGA4,0.215
512,OR5H2,BTLA,0.215
513,OR5H2,GPR39,0.213
514,OR5H2,OCLM,0.213
515,OR5H2,OR5H14,0.21100000000000002
516,OR5H2,CCSER1,0.21100000000000002
517,OR5H2,SERPINA10,-0.209
518,OR5H2,DYDC1,0.209
519,OR5H2,OR5B3,0.20800000000000002
520,OR5H2,PTPN18,0.205
521,OR5H2,MCOLN2,0.205
522,OR5H2,LRFN4,-0.205
523,OR5H2,MEIOC,0.205
524,OR5H2,PTPN20,0.204
525,OR5H2,CCDC91,0.204
526,OR5H2,IL1A,0.204
527,OR5H2,LPAR5,-0.203
528,OR5H2,RNF103,0.20199999999999999
529,OR5H2,C12orf40,0.20199999999999999
530,OR5H2,FAM169A,0.20199999999999999
531,OR5H2,MYH15,0.201
532,OR5H2,IFT57,0.2
533,OR5H2,EPHA3,0.19899999999999998
534,OR5H2,SORT1,0.19899999999999998
535,OR5H2,CA6,-0.19899999999999998
536,OR5H2,PLCXD2,0.198
537,OR5H2,ERGIC2,0.198
538,OR5H2,CD96,0.19699999999999998
539,OR5H2,HSPBAP1,0.19699999999999998
540,OR5H2,TBC1D23,0.19699999999999998
541,OR5H2,FOXD3,-0.19699999999999998
542,OR5H2,PARP14,0.196
543,OR5H2,GPD2,0.196
544,OR5H2,ITGA6,0.196
545,OR5H2,MRPS22,0.19399999999999998
546,OR5H2,TMEM69,0.19399999999999998
547,OR5H2,ANKRD31,0.19399999999999998
548,OR5H2,UPP2,0.193
549,OR5H2,ABHD10,0.193
550,OR5H2,ZNF385B,0.193
551,OR5H2,GCSAM,0.192
552,OR5H2,IFIT1,0.192
553,OR5H2,ARL13B,0.192
554,OR5H2,SLC46A2,-0.191
555,OR5H2,IQUB,-0.191
556,OR5H2,STX19,0.19
557,OR5H2,MFSD14C,0.19
558,OR5H2,PLG,0.19
559,OR5H2,GRID2,0.18899999999999997
560,OR5H2,OR4B1,0.18899999999999997
561,OR5H2,ALDH16A1,-0.18899999999999997
562,OR5H2,OR4A47,0.188
563,OR5H2,CFAP221,0.188
564,OR5H2,CHML,0.188
565,OR5H2,MGAT4A,0.187
566,OR5H2,PARP11,0.187
567,OR5H2,POLR3G,0.187
568,OR5H2,TMPPE,-0.187
569,OR5H2,VSX1,-0.187
570,OR5H2,BBX,0.18600000000000005
571,OR5H2,BBS2,0.18600000000000005
572,OR5H2,ITGA1,0.18600000000000005
573,OR5H2,SAMD8,0.185
574,OR5H2,HOXB6,-0.185
575,OR5H2,IBTK,0.184
576,OR5H2,GPHN,0.184
577,OR5H2,EPHA6,0.183
578,OR5H2,MCF2,0.183
579,OR5H2,ACADM,0.183
580,OR5H2,RTN4,0.183
581,OR5H2,NOL7,-0.162
582,OR5H2,SNX8,-0.16
583,OR5H2,GRM3,0.153
584,OR5H2,NPM1,-0.153
585,OR5H2,OR1Q1,0.152
586,OR5H2,NT5DC3,-0.147
587,OR5H2,MRPL2,-0.146
588,OR5H2,SEMA7A,-0.146
589,OR5H2,CMSS1,-0.14400000000000002
590,OR5H2,DLC1,-0.142
591,OR5H2,XCL1,0.14
592,OR5H2,CHCHD6,-0.14
593,OR5H2,RUVBL2,-0.13699999999999998
594,OR5H2,EEF1A1,-0.135
595,OR5H2,NUTM2B,0.135
596,OR5H2,CD83,-0.134
597,OR5H2,ZNF572,0.134
598,OR5H2,HSFX3,-0.134
599,OR5H2,FGFR3,0.134
600,OR5H2,PRELID1,-0.134
601,OR5H2,TTC30B,0.133
602,OR5H2,MDH1B,0.133
603,OR5H2,BNIP1,-0.132
604,OR5H2,RRP1,-0.131
606,OR5H2,TLNRD1,-0.131
607,OR5H2,HES5,0.13
608,OR5H2,VARS1,-0.13
609,OR5H2,EIF3D,-0.129
611,OR5H2,SLC38A4,0.128
612,OR5H2,CANX,-0.128
613,OR5H2,TPPP3,0.128
614,OR5H2,USF1,0.128
615,OR5H2,GADD45A,-0.127
616,OR5H2,PTTG2,-0.127
617,OR5H2,CUTA,-0.126
618,OR5H2,CTAG1A,0.126
619,OR5H2,GNLY,-0.126
620,OR5H2,TMEM79,0.126
621,OR5H2,AEN,-0.126
622,OR5H2,PHB,-0.126
623,OR5H2,TBL3,-0.126
624,OR5H2,WDR46,-0.125
625,OR5H2,FRMD5,-0.125
626,OR5H2,BYSL,-0.125
627,OR5H2,FAM207A,-0.124
629,OR5H2,NHP2,-0.124
630,OR5H2,GDF9,0.124
631,OR5H2,IMP4,-0.124
632,OR5H2,NAT9,-0.12300000000000001
633,OR5H2,NT5DC1,-0.12300000000000001
634,OR5H2,NLE1,-0.12300000000000001
636,OR5H2,CPPED1,-0.121
637,OR5H2,MYRF,-0.121
639,OR5H2,PCSK1,0.12
640,OR5H2,B4GALT7,-0.12
641,OR5H2,GADD45GIP1,-0.12
642,OR5H2,ZNF648,-0.12
644,OR5H2,TMEM14C,-0.11900000000000001
645,OR5H2,TASOR,0.11900000000000001
646,OR5H2,PKN1,-0.11900000000000001
647,OR5H2,LACTB,-0.11900000000000001
648,OR5H2,STAMBPL1,-0.11800000000000001
649,OR5H2,RPL31,-0.11800000000000001
650,OR5H2,SFXN1,-0.11800000000000001
651,OR5H2,SPINK5,0.11800000000000001
652,OR5H2,LALBA,-0.11800000000000001
653,OR5H2,NUDCD2,-0.11699999999999999
654,OR5H2,SUPT4H1,-0.11699999999999999
655,OR5H2,C2orf78,-0.11699999999999999
656,OR5H2,HGS,-0.11699999999999999
657,OR5H2,LSM2,-0.11699999999999999
658,OR5H2,EEF1G,-0.11599999999999999
659,OR5H2,PPM1G,-0.11599999999999999
660,OR5H2,TTC27,-0.11599999999999999
661,OR5H2,TCTEX1D2,0.115
662,OR5H2,KRTDAP,0.115
663,OR5H2,RNF130,-0.115
664,OR5H2,MBNL2,-0.115
665,OR5H2,LBX2,-0.115
666,OR5H2,ZNF330,-0.114
667,OR5H2,FMO4,0.114
668,OR5H2,EIF2B2,-0.114
669,OR5H2,RAB3D,0.114
670,OR5H2,SETBP1,0.114
671,OR5H2,GDPD2,0.114
672,OR5H2,CCR8,-0.114
673,OR5H2,LIF,-0.113
674,OR5H2,BICD1,-0.113
675,OR5H2,WDR12,-0.113
676,OR5H2,OR1J1,0.113
677,OR5H2,NEDD4L,-0.11199999999999999
678,OR5H2,ETS1,-0.11199999999999999
679,OR5H2,KISS1,-0.11199999999999999
680,OR5H2,THBD,0.133
682,OR5H2,CD93,0.133
683,OR5H2,PRAMEF14,0.133
684,OR5H2,DRD1,-0.132
686,OR5H2,ZFP2,-0.131
687,OR5H2,RMND5B,-0.131
688,OR5H2,N4BP3,-0.131
689,OR5H2,ZNF354B,-0.13
691,OR5H2,GRM6,-0.13
692,OR5H2,ZNF454,-0.13
693,OR5H2,ZNF879,-0.128
694,OR5H2,ZNF354C,-0.128
695,OR5H2,ZNF354A,-0.128
696,OR5H2,CLK4,-0.127
697,OR5H2,ADAMTS2,-0.126
698,OR5H2,HRH2,-0.126
699,OR5H2,LCE1D,0.126
700,OR5H2,CREBRF,-0.125
701,OR5H2,SSTR4,0.124
702,OR5H2,PHYKPL,-0.124
704,OR5H2,HNRNPAB,-0.124
705,OR5H2,CPLX2,-0.12300000000000001
706,OR5H2,DDR2,0.12300000000000001
708,OR5H2,CST3,0.122
709,OR5H2,CST9,0.122
713,OR5H2,FAM153CP,-0.121
714,OR5H2,PROP1,-0.121
715,OR5H2,CST2,0.12
716,OR5H2,NKX2-5,-0.12
717,OR5H2,NAPB,0.12
718,OR5H2,GGTLC1,0.12
719,OR5H2,CST5,0.12
721,OR5H2,CST1,0.11900000000000001
724,OR5H2,HNRNPH1,-0.11900000000000001
726,OR5H2,STC2,-0.11800000000000001
727,OR5H2,FAM153A,-0.11800000000000001
728,OR5H2,BOD1,-0.11800000000000001
730,OR5H2,MSX2,-0.11800000000000001
731,OR5H2,GZF1,0.11800000000000001
732,OR5H2,NXT1,0.11800000000000001
734,OR5H2,DBN1,-0.11800000000000001
735,OR5H2,PRR7,-0.11800000000000001
737,OR5H2,GRK6,-0.11800000000000001
738,OR5H2,PFN3,-0.11800000000000001
739,OR5H2,F12,-0.11800000000000001
740,OR5H2,CST9L,0.11800000000000001
741,OR5H2,SLC34A1,-0.11800000000000001
742,OR5H2,CPEB4,-0.11800000000000001
745,OR5H2,MAPK9,-0.11800000000000001
746,OR5H2,GFPT2,-0.11800000000000001
749,OR5H2,RGS14,-0.11699999999999999
751,OR5H2,C1orf226,0.11699999999999999
752,OR5H2,SPATA46,0.11699999999999999
753,OR5H2,SH2D1B,0.11699999999999999
754,OR5H2,CSTL1,0.11699999999999999
755,OR5H2,CST11,0.11699999999999999
756,OR5H2,CST8,0.11699999999999999
757,OR5H2,SIMC1,-0.11699999999999999
758,OR5H2,TBC1D9B,-0.11599999999999999
759,OR5H2,UAP1,0.11599999999999999
760,OR5H2,UHMK1,0.11599999999999999
761,OR5H2,WWC1,-0.11599999999999999
762,OR5H2,DOK3,-0.115
763,OR5H2,DDX41,-0.115
765,OR5H2,PDLIM7,-0.115
766,OR5H2,MAML1,-0.115
767,OR5H2,SLAMF7,0.146
768,OR5H2,CD244,0.14400000000000002
769,OR5H2,LY9,0.14400000000000002
770,OR5H2,ITLN1,0.14400000000000002
771,OR5H2,IGSF8,0.141
772,OR5H2,PIGM,0.141
